,Source,Target,Weight,Type
1,battle-pieces,israel-potter,2,undirected
2,battle-pieces,piazza-tales,1,undirected
3,battle-pieces,pierre,3,undirected
4,chapman-iliad,chapman-odyssey,6,undirected
5,chapman-iliad,milton-complete,4,undirected
6,chapman-iliad,pierre,1,undirected
7,chapman-odyssey,chapman-iliad,6,undirected
8,chapman-odyssey,milton-complete,5,undirected
9,chapman-odyssey,pierre,1,undirected
10,chapman-odyssey,shakespeare-complete,1,undirected
11,confidence-man,hawthorne-and-his-mosses,3,undirected
12,confidence-man,israel-potter,1,undirected
13,confidence-man,piazza-tales,2,undirected
14,confidence-man,pierre,4,undirected
15,confidence-man,shakespeare-complete,3,undirected
16,hawthorne-and-his-mosses,confidence-man,3,undirected
17,hawthorne-and-his-mosses,piazza-tales,1,undirected
18,hawthorne-and-his-mosses,pierre,2,undirected
19,israel-potter,battle-pieces,2,undirected
20,israel-potter,confidence-man,1,undirected
21,israel-potter,moby-dick,3,undirected
22,israel-potter,piazza-tales,6,undirected
23,israel-potter,pierre,1,undirected
24,milton-complete,chapman-iliad,4,undirected
25,milton-complete,chapman-odyssey,5,undirected
26,milton-complete,pierre,1,undirected
27,moby-dick,israel-potter,3,undirected
28,moby-dick,piazza-tales,5,undirected
29,moby-dick,pierre,4,undirected
30,piazza-tales,battle-pieces,1,undirected
31,piazza-tales,confidence-man,2,undirected
32,piazza-tales,hawthorne-and-his-mosses,1,undirected
33,piazza-tales,israel-potter,6,undirected
34,piazza-tales,moby-dick,5,undirected
35,piazza-tales,pierre,4,undirected
36,pierre,battle-pieces,3,undirected
37,pierre,chapman-iliad,1,undirected
38,pierre,chapman-odyssey,1,undirected
39,pierre,confidence-man,4,undirected
40,pierre,hawthorne-and-his-mosses,2,undirected
41,pierre,israel-potter,1,undirected
42,pierre,milton-complete,1,undirected
43,pierre,moby-dick,4,undirected
44,pierre,piazza-tales,4,undirected
45,pierre,shakespeare-complete,2,undirected
46,shakespeare-complete,chapman-odyssey,1,undirected
47,shakespeare-complete,confidence-man,3,undirected
48,shakespeare-complete,pierre,2,undirected
